[DEBUG] IP deste peer: 127.0.0.1, porta: 5000
[DEBUG] Lista bruta de vizinhos: 127.0.0.1:5001
[DEBUG] Lista final de vizinhos: [('127.0.0.1', 5001)]
[DEBUG] Modo seed: True
[Seeder] Arquivo 'file_C_20M.bin' carregado: 20480 blocos, SHA256=a2103131d080150bc68356d0ef2d02993a8cec674443d04e9ecceeab732bc1d3
[Seeder] Aguardando conex�es de leechers para o arquivo 'file_C_20M.bin'...
[Seeder] Pressione Ctrl+C para encerrar
[Servidor] Ouvindo em 127.0.0.1:5000
[Servidor] Enviado bloco 15692 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18735 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17543 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12173 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18058 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 8673 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 4558 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5067 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5445 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 1726 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19721 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 1641 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7146 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 11498 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6480 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18545 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 15459 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17104 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19342 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6299 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9098 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18808 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 9262 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12711 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 7835 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 19051 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 18613 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 4250 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5742 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 17755 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12479 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2662 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 4519 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 5824 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 684 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 6163 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10183 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 2605 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12878 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14935 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 16342 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 12089 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 20174 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 14274 (1024 B) para ('127.0.0.1', 60935)
[Servidor] Enviado bloco 10972 (1024 B) para ('127.0.0.1', 60935)
