[DEBUG] IP deste peer: 127.0.0.1, porta: 5001
[DEBUG] Lista bruta de vizinhos: 127.0.0.1:5000
[DEBUG] Lista final de vizinhos: [('127.0.0.1', 5000)]
[DEBUG] Modo seed: False
[Servidor] Ouvindo em 127.0.0.1:5001
[Cliente] Conectado a 127.0.0.1:5000
[Cliente] Bloco 4558 recebido de 127.0.0.1:5000 (81/20480)
[Cliente] Bloco 5067 recebido de 127.0.0.1:5000 (82/20480)
[Cliente] Bloco 5445 recebido de 127.0.0.1:5000 (83/20480)
[Cliente] Bloco 1726 recebido de 127.0.0.1:5000 (84/20480)
[Cliente] Bloco 19721 recebido de 127.0.0.1:5000 (85/20480)
[Cliente] Bloco 1641 recebido de 127.0.0.1:5000 (86/20480)
[Cliente] Bloco 7146 recebido de 127.0.0.1:5000 (87/20480)
[Cliente] Bloco 11498 recebido de 127.0.0.1:5000 (88/20480)
[Cliente] Bloco 6480 recebido de 127.0.0.1:5000 (89/20480)
[Cliente] Bloco 18545 recebido de 127.0.0.1:5000 (90/20480)
[Cliente] Bloco 15459 recebido de 127.0.0.1:5000 (91/20480)
[Cliente] Bloco 17104 recebido de 127.0.0.1:5000 (92/20480)
[Cliente] Bloco 19342 recebido de 127.0.0.1:5000 (93/20480)
[Cliente] Bloco 6299 recebido de 127.0.0.1:5000 (94/20480)
[Cliente] Bloco 9098 recebido de 127.0.0.1:5000 (95/20480)
[Cliente] Bloco 18808 recebido de 127.0.0.1:5000 (96/20480)
[Cliente] Bloco 9262 recebido de 127.0.0.1:5000 (97/20480)
[Cliente] Bloco 12711 recebido de 127.0.0.1:5000 (98/20480)
[Cliente] Bloco 7835 recebido de 127.0.0.1:5000 (99/20480)
[Cliente] Bloco 19051 recebido de 127.0.0.1:5000 (100/20480)
[Cliente] Bloco 18613 recebido de 127.0.0.1:5000 (101/20480)
[Cliente] Bloco 4250 recebido de 127.0.0.1:5000 (102/20480)
[Cliente] Bloco 5742 recebido de 127.0.0.1:5000 (103/20480)
[Cliente] Bloco 17755 recebido de 127.0.0.1:5000 (104/20480)
[Cliente] Bloco 12479 recebido de 127.0.0.1:5000 (105/20480)
[Cliente] Bloco 2662 recebido de 127.0.0.1:5000 (106/20480)
[Cliente] Bloco 4519 recebido de 127.0.0.1:5000 (107/20480)
[Cliente] Bloco 5824 recebido de 127.0.0.1:5000 (108/20480)
[Cliente] Bloco 684 recebido de 127.0.0.1:5000 (109/20480)
[Cliente] Bloco 6163 recebido de 127.0.0.1:5000 (110/20480)
[Cliente] Bloco 10183 recebido de 127.0.0.1:5000 (111/20480)
[Cliente] Bloco 2605 recebido de 127.0.0.1:5000 (112/20480)
[Cliente] Bloco 12878 recebido de 127.0.0.1:5000 (113/20480)
[Cliente] Bloco 14935 recebido de 127.0.0.1:5000 (114/20480)
[Cliente] Bloco 16342 recebido de 127.0.0.1:5000 (115/20480)
[Cliente] Bloco 12089 recebido de 127.0.0.1:5000 (116/20480)
[Cliente] Bloco 20174 recebido de 127.0.0.1:5000 (117/20480)
[Cliente] Bloco 14274 recebido de 127.0.0.1:5000 (118/20480)
[Cliente] Bloco 10972 recebido de 127.0.0.1:5000 (119/20480)
[Cliente] Bloco 7689 recebido de 127.0.0.1:5000 (120/20480)
[Cliente] Bloco 8117 recebido de 127.0.0.1:5000 (121/20480)
[Cliente] Bloco 18109 recebido de 127.0.0.1:5000 (122/20480)
[Cliente] Bloco 5025 recebido de 127.0.0.1:5000 (123/20480)
[Cliente] Bloco 6803 recebido de 127.0.0.1:5000 (124/20480)
[Cliente] Bloco 1147 recebido de 127.0.0.1:5000 (125/20480)
[Cliente] Bloco 10837 recebido de 127.0.0.1:5000 (126/20480)
[Cliente] Bloco 6241 recebido de 127.0.0.1:5000 (127/20480)
[Cliente] Bloco 13328 recebido de 127.0.0.1:5000 (128/20480)
[Cliente] Bloco 179 recebido de 127.0.0.1:5000 (129/20480)
[Cliente] Bloco 17787 recebido de 127.0.0.1:5000 (130/20480)
[Cliente] Bloco 4859 recebido de 127.0.0.1:5000 (131/20480)
[Cliente] Bloco 12942 recebido de 127.0.0.1:5000 (132/20480)
[Cliente] Bloco 11018 recebido de 127.0.0.1:5000 (133/20480)
[Cliente] Bloco 4218 recebido de 127.0.0.1:5000 (134/20480)
[Cliente] Bloco 9873 recebido de 127.0.0.1:5000 (135/20480)
[Cliente] Bloco 6074 recebido de 127.0.0.1:5000 (136/20480)
[Cliente] Bloco 1189 recebido de 127.0.0.1:5000 (137/20480)
[Cliente] Bloco 17717 recebido de 127.0.0.1:5000 (138/20480)
[Cliente] Bloco 5516 recebido de 127.0.0.1:5000 (139/20480)
[Cliente] Bloco 5723 recebido de 127.0.0.1:5000 (140/20480)
[Cliente] Bloco 13667 recebido de 127.0.0.1:5000 (141/20480)
[Cliente] Bloco 9965 recebido de 127.0.0.1:5000 (142/20480)
[Cliente] Bloco 4083 recebido de 127.0.0.1:5000 (143/20480)
[Cliente] Bloco 14440 recebido de 127.0.0.1:5000 (144/20480)
[Cliente] Bloco 15698 recebido de 127.0.0.1:5000 (145/20480)
[Cliente] Bloco 14374 recebido de 127.0.0.1:5000 (146/20480)
[Cliente] Bloco 7961 recebido de 127.0.0.1:5000 (147/20480)
[Cliente] Bloco 5145 recebido de 127.0.0.1:5000 (148/20480)
[Cliente] Bloco 8373 recebido de 127.0.0.1:5000 (149/20480)
[Cliente] Bloco 976 recebido de 127.0.0.1:5000 (150/20480)
[Cliente] Bloco 3158 recebido de 127.0.0.1:5000 (151/20480)
[Cliente] Bloco 19305 recebido de 127.0.0.1:5000 (152/20480)
[Cliente] Bloco 13274 recebido de 127.0.0.1:5000 (153/20480)
[Cliente] Bloco 755 recebido de 127.0.0.1:5000 (154/20480)
[Cliente] Bloco 229 recebido de 127.0.0.1:5000 (155/20480)
[Cliente] Bloco 11145 recebido de 127.0.0.1:5000 (156/20480)
[Cliente] Bloco 3543 recebido de 127.0.0.1:5000 (157/20480)
[Cliente] Bloco 18314 recebido de 127.0.0.1:5000 (158/20480)
[Cliente] Bloco 20028 recebido de 127.0.0.1:5000 (159/20480)
[Cliente] Bloco 17713 recebido de 127.0.0.1:5000 (160/20480)
[Cliente] Bloco 7267 recebido de 127.0.0.1:5000 (161/20480)
[Cliente] Bloco 15143 recebido de 127.0.0.1:5000 (162/20480)
[Cliente] Bloco 13544 recebido de 127.0.0.1:5000 (163/20480)
[Cliente] Bloco 8576 recebido de 127.0.0.1:5000 (164/20480)
[Cliente] Bloco 2148 recebido de 127.0.0.1:5000 (165/20480)
[Cliente] Bloco 5688 recebido de 127.0.0.1:5000 (166/20480)
[Cliente] Bloco 20082 recebido de 127.0.0.1:5000 (167/20480)
[Cliente] Bloco 2950 recebido de 127.0.0.1:5000 (168/20480)
[Cliente] Bloco 11796 recebido de 127.0.0.1:5000 (169/20480)
[Cliente] Bloco 17556 recebido de 127.0.0.1:5000 (170/20480)
[Cliente] Bloco 13880 recebido de 127.0.0.1:5000 (171/20480)
[Cliente] Bloco 17724 recebido de 127.0.0.1:5000 (172/20480)
[Cliente] Bloco 7255 recebido de 127.0.0.1:5000 (173/20480)
[Cliente] Bloco 1551 recebido de 127.0.0.1:5000 (174/20480)
[Cliente] Bloco 235 recebido de 127.0.0.1:5000 (175/20480)
[Cliente] Bloco 18989 recebido de 127.0.0.1:5000 (176/20480)
[Cliente] Bloco 15053 recebido de 127.0.0.1:5000 (177/20480)
[Cliente] Bloco 8016 recebido de 127.0.0.1:5000 (178/20480)
[Cliente] Bloco 9614 recebido de 127.0.0.1:5000 (179/20480)
[Cliente] Bloco 10477 recebido de 127.0.0.1:5000 (180/20480)
[Cliente] Bloco 6469 recebido de 127.0.0.1:5000 (181/20480)
[Cliente] Bloco 3560 recebido de 127.0.0.1:5000 (182/20480)
[Cliente] Bloco 1388 recebido de 127.0.0.1:5000 (183/20480)
[Cliente] Bloco 3752 recebido de 127.0.0.1:5000 (184/20480)
[Cliente] Bloco 4680 recebido de 127.0.0.1:5000 (185/20480)
[Cliente] Bloco 3544 recebido de 127.0.0.1:5000 (186/20480)
[Cliente] Bloco 349 recebido de 127.0.0.1:5000 (187/20480)
[Cliente] Bloco 18354 recebido de 127.0.0.1:5000 (188/20480)
[Cliente] Bloco 2797 recebido de 127.0.0.1:5000 (189/20480)
[Cliente] Bloco 8870 recebido de 127.0.0.1:5000 (190/20480)
[Cliente] Bloco 9300 recebido de 127.0.0.1:5000 (191/20480)
[Cliente] Bloco 17652 recebido de 127.0.0.1:5000 (192/20480)
[Cliente] Bloco 10656 recebido de 127.0.0.1:5000 (193/20480)
[Cliente] Bloco 1161 recebido de 127.0.0.1:5000 (194/20480)
[Cliente] Bloco 2399 recebido de 127.0.0.1:5000 (195/20480)
[Cliente] Bloco 234 recebido de 127.0.0.1:5000 (196/20480)
[Cliente] Bloco 13086 recebido de 127.0.0.1:5000 (197/20480)
[Cliente] Bloco 10075 recebido de 127.0.0.1:5000 (198/20480)
[Cliente] Bloco 11474 recebido de 127.0.0.1:5000 (199/20480)
[Cliente] Bloco 18699 recebido de 127.0.0.1:5000 (200/20480)
[Cliente] Bloco 14916 recebido de 127.0.0.1:5000 (201/20480)
[Cliente] Bloco 6508 recebido de 127.0.0.1:5000 (202/20480)
[Cliente] Bloco 13727 recebido de 127.0.0.1:5000 (203/20480)
[Cliente] Bloco 3507 recebido de 127.0.0.1:5000 (204/20480)
[Cliente] Bloco 6825 recebido de 127.0.0.1:5000 (205/20480)
[Cliente] Bloco 8694 recebido de 127.0.0.1:5000 (206/20480)
[Cliente] Bloco 14263 recebido de 127.0.0.1:5000 (207/20480)
[Cliente] Bloco 3305 recebido de 127.0.0.1:5000 (208/20480)
[Cliente] Bloco 16458 recebido de 127.0.0.1:5000 (209/20480)
[Cliente] Bloco 10908 recebido de 127.0.0.1:5000 (210/20480)
[Cliente] Bloco 9727 recebido de 127.0.0.1:5000 (211/20480)
[Cliente] Bloco 4027 recebido de 127.0.0.1:5000 (212/20480)
[Cliente] Bloco 5184 recebido de 127.0.0.1:5000 (213/20480)
[Cliente] Bloco 13648 recebido de 127.0.0.1:5000 (214/20480)
[Cliente] Bloco 3534 recebido de 127.0.0.1:5000 (215/20480)
[Cliente] Bloco 7772 recebido de 127.0.0.1:5000 (216/20480)
[Cliente] Bloco 13220 recebido de 127.0.0.1:5000 (217/20480)
[Cliente] Bloco 2404 recebido de 127.0.0.1:5000 (218/20480)
[Cliente] Bloco 8757 recebido de 127.0.0.1:5000 (219/20480)
[Cliente] Bloco 13062 recebido de 127.0.0.1:5000 (220/20480)
[Cliente] Bloco 12729 recebido de 127.0.0.1:5000 (221/20480)
[Cliente] Bloco 14970 recebido de 127.0.0.1:5000 (222/20480)
[Cliente] Bloco 11456 recebido de 127.0.0.1:5000 (223/20480)
[Cliente] Bloco 16934 recebido de 127.0.0.1:5000 (224/20480)
[Cliente] Bloco 19776 recebido de 127.0.0.1:5000 (225/20480)
[Cliente] Bloco 9717 recebido de 127.0.0.1:5000 (226/20480)
[Cliente] Bloco 9644 recebido de 127.0.0.1:5000 (227/20480)
[Cliente] Bloco 10958 recebido de 127.0.0.1:5000 (228/20480)
[Cliente] Bloco 279 recebido de 127.0.0.1:5000 (229/20480)
[Cliente] Bloco 17167 recebido de 127.0.0.1:5000 (230/20480)
[Cliente] Bloco 2052 recebido de 127.0.0.1:5000 (231/20480)
[Cliente] Bloco 2478 recebido de 127.0.0.1:5000 (232/20480)
[Cliente] Bloco 2679 recebido de 127.0.0.1:5000 (233/20480)
[Cliente] Bloco 2668 recebido de 127.0.0.1:5000 (234/20480)
[Cliente] Bloco 13446 recebido de 127.0.0.1:5000 (235/20480)
[Cliente] Bloco 9703 recebido de 127.0.0.1:5000 (236/20480)
[Cliente] Bloco 9431 recebido de 127.0.0.1:5000 (237/20480)
[Cliente] Bloco 14324 recebido de 127.0.0.1:5000 (238/20480)
[Cliente] Bloco 2316 recebido de 127.0.0.1:5000 (239/20480)
[Cliente] Bloco 6048 recebido de 127.0.0.1:5000 (240/20480)
[Cliente] Bloco 13534 recebido de 127.0.0.1:5000 (241/20480)
[Cliente] Bloco 19858 recebido de 127.0.0.1:5000 (242/20480)
[Cliente] Bloco 18536 recebido de 127.0.0.1:5000 (243/20480)
[Cliente] Bloco 7104 recebido de 127.0.0.1:5000 (244/20480)
[Cliente] Bloco 999 recebido de 127.0.0.1:5000 (245/20480)
[Cliente] Bloco 12748 recebido de 127.0.0.1:5000 (246/20480)
[Cliente] Bloco 13375 recebido de 127.0.0.1:5000 (247/20480)
[Cliente] Bloco 17606 recebido de 127.0.0.1:5000 (248/20480)
[Cliente] Bloco 13340 recebido de 127.0.0.1:5000 (249/20480)
[Cliente] Bloco 7429 recebido de 127.0.0.1:5000 (250/20480)
[Cliente] Bloco 11961 recebido de 127.0.0.1:5000 (251/20480)
[Cliente] Bloco 4020 recebido de 127.0.0.1:5000 (252/20480)
[Cliente] Bloco 13621 recebido de 127.0.0.1:5000 (253/20480)
[Cliente] Bloco 16379 recebido de 127.0.0.1:5000 (254/20480)
[Cliente] Bloco 20415 recebido de 127.0.0.1:5000 (255/20480)
[Cliente] Bloco 9030 recebido de 127.0.0.1:5000 (256/20480)
[Cliente] Bloco 20331 recebido de 127.0.0.1:5000 (257/20480)
